cell,ExpDate,Nerve,MouseAge,MouseWeight,MouseSex,Genotype,NbTransgenes,AgeGroup,G+A,PIC Amp,PIC/Gin,V_PIC onset,V_PIC peak,PICdown Amp,PICdown/Gin,V_PIC offset,V_PICdown peak,Gin,RepFiring,Ion,Ioff,∆I,∆F,Gain_Asc,Vth,Gain_Desc,I_SPR-PR,F_SPR-PR,RMP,∆Vth,∆V_PIC onset,∆V_PIC peak
463,20140718,sciatic,84,29,M,WT,0,P60–90,WT_P60–90,1.7,3.541666667,-60.2,-46.8,0.62,1.291666667,-60.6,-47.8,0.48,Firing,4.5,9.6,5.1,2,,-50.2,,,,-60.7,10.5,0.5,13.9
481,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,4.6,8.846153846,-62.7,-41.8,3.82,7.346153846,-63.8,41.4,0.52,Firing,10.4,13.4,3,19,2.459792,-44.4,13.39084,12.7,53.9,-75.9,31.5,13.2,34.1
476,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,0.6,5,-62.8,-51.9,0.5,4.166666667,-61.9,-50.4,0.12,Firing,1.32,1.1,-0.2,3.7,11.77772,-55.7,15.173813,2.5,40.7,-70.8,15.1,8,18.9
479,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,4.6,12.77777778,-64.3,-44,6.88,19.11111111,-64.8,-43.8,0.36,Firing,3.9,3.5,-0.4,-2.8,8.3194,-48.2,16.408583,4.7,48.8,-71.4,23.2,7.1,27.4
487,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,1.4,5,-63.6,-49,1.26,4.5,-63.7,-48,0.28,Non-firing,,,,,,,,,,,,,
683,20150219,sicatic,75,26,F,SOD1,49,P60–90,SOD1_P60–90,1.3,2.888888889,-54.6,-42.9,1.61,3.577777778,-56.5,-43.1,0.45,Firing,2.6,3.9,0.2,3,10.4,-44.5,9.58,4,38.9,-58.3,13.8,3.7,15.4
679,20150219,sciatic,75,26,F,SOD1,49,P60–90,SOD1_P60–90,0.5,2.380952381,-46.9,-38,0.39,1.857142857,-50.1,-40,0.21,Non-firing,,,,,,,,,,,,,
701,20150227,sciatic,88,22,M,WT,0,P60–90,WT_P60–90,3.7,6.981132075,-61.6,-46.1,3.77,7.113207547,-63.8,-45.19,0.53,Firing,4.4,4.9,0.5,-6.8,13.6,-43.1,23.5,5.2,37.58,-58,14.9,-3.6,11.9
703,20150227,sciatic,88,22,M,WT,0,P60–90,WT_P60–90,2.3,7.931034483,-55,-41.9,1.56,5.379310345,-58.6,-43.45,0.29,Firing,3.3,2.6,-0.7,5.8,12.1,-43.7,11.1,3.6,45,-61.7,18,6.7,19.8
692,20150227,sciatic,88,22,M,WT,0,P60–90,WT_P60–90,0.6,1.25,-57.8,-47.3,1.6,3.333333333,-62.4,-48.2,0.48,Non-firing,6.95,,,,,-49,,,,-61.5,12.5,3.7,14.2
697,20150227,sciatic,88,22,M,WT,0,P60–90,WT_P60–90,1.4,2.295081967,-52.2,-42.8,1.24,2.032786885,-57.9,-45.27,0.61,Non-firing,8.95,,,,,-44.73,,,,-60.1,15.37,7.9,17.3
696,20150227,sciatic,88,22,M,WT,0,P60–90,WT_P60–90,1.3,2.24137931,-56.9,-47.5,1.61,2.775862069,-60.2,-48.1,0.58,Non-firing,4.9,,,,,-49.92,,,,-60.2,10.28,3.3,12.7
705,20150227,sciatic,88,22,M,WT,0,P60–90,WT_P60–90,1,2.325581395,-54.5,-45,0.82,1.906976744,-56.3,-45,0.43,Non-firing,2.939,,,,,-42.98,,,,-52.05,9.07,-2.45,7.05
711,20150304,sciatic,123,29,M,WT,0,P90–120,WT_P90–120,1.4,2.1875,-61.3,-48.8,0.98,1.53125,-61.4,-50.34,0.64,Non-firing,8.97,,,,,-49.4,,,,-63.59,14.19,2.29,14.79
725,20150708,sciatic,104,24,M,SOD1,95,P90–120,SOD1_P90–120,0.2,0.476190476,-57,-42.1,1.71,4.071428571,-55.6,-46.1,0.42,Firing,6.3,6.8,0.5,2.9,6.55,-43.7,14.1,6.92,36.31,-59.8,16.1,2.8,17.7
724,20150708,sciatic,104,24,M,SOD1,95,P90–120,SOD1_P90–120,1.5,3.06122449,-61.9,-54.9,3.07,6.265306122,-68.8,-54.7,0.49,Firing,2.6,2.2,-0.5,6.6,16.95,-55.1,15.74,3.1,47.3,-67.3,12.2,5.4,12.4
726,20150708,sciatic ,104,24,M,SOD1,95,P90–120,SOD1_P90–120,0,0,-47.8,-44.2,0,0,-46.5,-40,0.23,Non-firing,,,,,,,,,,,,,
760,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,0.9,2.307692308,-65.1,-53.9,0.9,2.307692308,-67.2,-57.2,0.39,Firing,4.2,4.2,0,4.1,,-55,,,,-70.3,15.3,5.2,16.4
745,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,4.4,5.365853659,-64.8,-54,3.74,4.56097561,-72.6,-58.4,0.82,Firing,6,6.5,0.5,2.3,5.7,-55.9,11.5,8.24,60,-75.9,20,11.1,21.9
747,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,7.4,14.23076923,-66.8,-41.7,5.26,10.11538462,-73.7,-48.3,0.52,Firing,6.1,6.8,0.6,-1.8,15.2,-47.3,22.52,7.3,40.6,-72.3,25,5.5,30.6
763,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,2.8,4.444444444,-62.8,-48.2,2.29,3.634920635,-61.3,-48.1,0.63,Firing,1.7,3.8,2,2.1,,-49.7,,,,-63.3,13.6,0.5,15.1
743,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,10,24.3902439,-69.7,-41.2,8.84,21.56097561,-72.3,-42.1,0.41,Firing,1.5,1.2,-0.3,-1.6,7.8,-47.6,7.62,1.92,17.3,-62.9,15.3,-6.8,21.7
751,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,1.7,4.25,-60,-47.7,3.81,9.525,-64.6,-47.8,0.4,Firing,1.7,0.5,-1.2,1.4,9.65,-53.5,8.79,2.33,60.9,-63.9,10.4,3.9,16.2
742,20150805,sciatic,62,22,M,SOD1,77,P60–90,SOD1_P60–90,4.67,13.73529412,-70.9,-52.7,2.83,8.323529412,-75.2,-57.3,0.34,Firing,2.6,1.5,-1,-4.3,10.99,-52.8,8.52,3.6,18.05,-72.9,20.1,2,20.2
792,20151006,sciatic,31,20,M,SOD1,75,P30–60,SOD1_P30–60,7.6,8.539325843,-74.1,-57.3,5.79,6.505617978,-77,-58.4,0.89,Firing,8.3,11.5,3.3,4.8,4.5,-60.1,11.73,10.9,61.1,-79.6,19.5,5.5,22.3
793,20151006,sciatic,31,20,M,SOD1,75,P30–60,SOD1_P30–60,14.2,14.63917526,-75.9,-53.4,9.79,10.09278351,-77.8,-55.5,0.97,Firing,8.2,11.4,3.2,-17.1,0.77,-58.2,26.11,10.4,60.3,-77.2,19,1.3,23.8
794,20151006,sciatic,31,20,M,SOD1,75,P30–60,SOD1_P30–60,4.4,5.301204819,-71.6,-55.7,3.53,4.253012048,-72.6,-57.6,0.83,Firing,6.7,7.9,1.2,14,10.74,-59.7,18.41,8.9,83.3,-77,17.3,5.4,21.3
795,20151006,sciatic,31,20,M,SOD1,75,P30–60,SOD1_P30–60,5.3,8.153846154,-71.5,-54.2,4.84,7.446153846,-70.3,-56.2,0.65,Firing,5.2,5.8,0.6,17.1,8.82,-60.5,15.05,7.6,73.7,-75.9,15.4,4.4,21.7
797,20151006,sciatic,31,20,M,SOD1,75,P30–60,SOD1_P30–60,8.5,12.68656716,-72.6,-54.3,8.56,12.7761194,-75,-51,0.67,Firing,4.6,5.2,0.6,26.4,10.8,-59.5,15.98,6.8,85.1,-70.6,11.1,-2,16.3
924,20151231,sciatic,89,24,M,SOD1,139,P60–90,SOD1_P60–90,4.6,10.95238095,-63,-42.5,3.95,9.404761905,-67.3,-43.2,0.42,Firing,2.7,4.3,1.6,7.8,10,-43.2,15.88,5.1,54.8,-61.1,17.9,-1.9,18.6
944,20160107,sciatic,35,20,M,SOD1,50,P30–60,SOD1_P30–60,6.8,9.189189189,-69.5,-50.2,5.95,8.040540541,-70.1,-52,0.74,Firing,8.2,10.4,2.3,11.7,6.95,-56.2,14.6,9.7,68.5,-75.6,19.4,6.1,25.4
956,20160107,sciatic,35,20,M,SOD1,50,P30–60,SOD1_P30–60,5.4,9,-67.1,-54.3,2.66,4.433333333,-65.8,-57.8,0.6,Firing,1.1,2.3,1.2,6.9,9.94,-54,25.8,3,72.7,-61.5,7.5,-5.6,7.2
949,20160107,sciatic,35,20,M,SOD1,50,P30–60,SOD1_P30–60,0.3,0.405405405,-54.3,-48.9,0.42,0.567567568,-54.3,-49,0.74,Non-firing,,,,,,,,,,-50.59,,-3.71,1.69
962,20160111,sciatic,54,26,M,SOD1,72,P30–60,SOD1_P30–60,9.1,8.272727273,-68.2,-53.5,2.52,2.290909091,-68.2,-59.3,1.1,Firing,9.6,10.8,1.1,2.7,7,-50.9,13.7,11.7,47.06,-72.1,21.2,3.9,18.6
978,20160111,sciatic,54,26,M,SOD1,72,P30–60,SOD1_P30–60,6.2,8.051948052,-67.9,-48.5,2.94,3.818181818,-68.8,-48.8,0.77,Firing,8.1,12,3.9,-2.6,5.35,-45.7,19.65,9.6,40.58,-69.7,24,1.8,21.2
976,20160111,sciatic,54,26,M,SOD1,72,P30–60,SOD1_P30–60,7.5,13.88888889,-77.8,-57.5,6.26,11.59259259,-80.8,-57.4,0.54,Firing,5.3,5.8,0.6,3.6,13.1,-58.9,21,6.1,39.2,-81.6,22.7,3.8,24.1
965,20160111,sciatic,54,26,M,SOD1,72,P30–60,SOD1_P30–60,9.6,12.15189873,-62.1,-44.3,13.37,16.92405063,-67.6,-44,0.79,Firing,7.8,8.8,1,-1.8,8.1,-48.4,14.2,9.4,39.9,-67.5,19.1,5.4,23.2
971,20160111,sciatic,54,26,M,SOD1,72,P30–60,SOD1_P30–60,6.7,12.18181818,-69.8,-54.2,7.33,13.32727273,-75.7,-54.8,0.55,Firing,1.6,2.2,0.7,-1.1,8.6,-48.6,12.6,3.03,45.1,-59.1,10.5,-10.7,4.9
984,20160414,sciatic,60,21,F,SOD1,112,P30–60,SOD1_P30–60,1.7,4.25,-71.8,-54.4,1.43,,-75.3,-57,0.4,Firing,6.2,7.3,1.1,-5,13.4,-57.3,22.6,6.8,34.6,-81.6,24.3,9.8,27.2
